"site_reach","site","field_date","sample_type","anabaena_and_cylindrospermum","aphanothece","calothrix","chroococcus","e_diatoms","geitlerinema","gloeotrichia","green_algae","homoeothrix","leptolyngbya","lyngbya","nodularia","non_e_diatoms","nostoc","oscillatoria","other_coccoids","phormidium_unknown","rivularia","scytonema","tolypothrix","unknown","pH","temp_C","DO_mg_L","cond_uS_cm","oPhos_ug_P_L","nitrate_mg_N_L","ammonium_mg_N_L","assumed_pH","TDC_mg_L","DOC_mg_L","Cl_mg_L","SO4_mg_L","Br_mg_L","Na_mg_L","K_mg_L","Mg_mg_L","Ca_mg_L","ATXa_ug_g","dhATXa_ug_g","HTXa_ug_g","ATX_all_ug_g","Chla_ug_g","Pheo_ug_g","percent_organic_matter","ATX_all_ug_chla_ug","ATX_all_ug_orgmat_g"
"SFE-M-1S","SFE-M","2023-07-24","TM",0,0,0.460829493087558,0,6.91244239631336,13.8248847926267,0,41.4746543778802,0,0,0,0.230414746543779,25.3456221198157,4.83870967741936,0,6.91244239631336,0,0,0,0,0,8.66,23.4,10.76,206,3.588,0.0125,0.00081,8.66,10.91,0.7795,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,10104.0211861896,552.287874979569,70.69,0,0
"SFE-M-1S","SFE-M","2023-07-31","TM",12.9310344827586,0,8.6206896551724,4.3103448275862,17.2413793103448,6.89655172413793,0,25.8620689655173,0,3.44827586206897,0,0,13.7931034482758,0,0,6.89655172413793,0,0,0,0,0,8.5,23,9.09,209,3.506,0.013,0.00285,8.5,10.18,2.411,NA,NA,NA,NA,NA,NA,NA,0.225,0,0,0.225,8363.85708803398,119.595798350909,70.385,2.69e-05,0.3196704
"SFE-M-1S","SFE-M","2023-08-07","TM",3.55871886120996,0,0.355871886120996,3.55871886120996,12.4555160142349,7.11743772241992,0,23.1316725978647,0,3.55871886120996,0,0,17.7935943060498,0,0,10.6761565836299,0,17.7935943060498,0,0,0,8.25,23.4,7.55,235,3.991,0.017,0.00605,8.25,9.754,0.554,NA,NA,NA,NA,NA,NA,NA,0.2943,0.07,0,0.3643,9269.0080399987,119.892172999028,69.024,3.93e-05,0.5277874
"SFE-M-2","SFE-M","2023-07-10","TM",0,0,0,0,7.53295668549906,5.64971751412428,0,35.7815442561205,0,0,0,0,45.1977401129944,0,0,5.64971751412428,0,0,0,0,0.188323917137476,8.13,22.2,8.12,225,5.148,0.016,0.001455,8.13,10.0185,0.527,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1197.95752066313,14.0366792254497,5.79,0,0
"SFE-M-2","SFE-M","2023-07-24","TM",0.53763440860215,0,0,0,26.8817204301075,10.752688172043,0,16.1290322580645,0,0,0,0,34.9462365591398,0,0,10.752688172043,0,0,0,0,0,8.3,24,8.01,213,3.911,0.01,9e-04,8.3,9.02,0.791,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2235.9414059793,40.7493543097854,15.92,0,0
"SFE-M-2","SFE-M","2023-07-31","TM",19.7674418604651,0,0,0,25.5813953488372,9.30232558139536,0,15.1162790697674,0,0,0,0,23.2558139534884,0,0,6.97674418604652,0,0,0,0,0,8.33,23.7,8.27,210,3.241,0.01,9e-04,8.33,7.207,0.597,NA,NA,NA,NA,NA,NA,NA,0.081,0,0,0.081,6339.63166954858,537.497561986666,25.68,1.28e-05,0.3154206
"SFE-M-2","SFE-M","2023-08-07","TM",13.8483965014577,0,0.801749271137026,0.0728862973760934,33.5276967930029,12.3906705539359,0,11.6618075801749,0,0,0,0,20.4081632653061,0,0,7.28862973760933,0,0,0,0,0,8.33,24.1,8.03,234,3.977,0.012,0.00493,8.33,11.58,0.872,NA,NA,NA,NA,NA,NA,NA,2.42,0.338,0,2.758,8051.15767172504,233.251270878279,36.66,0.0003426,7.523186
"SFE-M-3","SFE-M","2023-07-03","TM",0,0,0,0,9.55414012738853,0.955414012738853,0,44.5859872611465,0,0.318471337579618,0,0,28.6624203821656,0,0,15.9235668789809,0,0,0,0,0,8.39,27.5,8.65,221,5.259,0.017,0.00385,8.39,12.17,0.795,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,6720.41808877024,381.650226240223,67.24,0,0
"SFE-M-3","SFE-M","2023-07-10","TM",0,0,0,0,0,0,0,23.5602094240838,0,0,0,0,57.5916230366492,0.523560209424084,0,18.3246073298429,0,0,0,0,0,8.21,23.6,8.4,224,4.249,0.012,0.00092,8.21,9.312,0.759,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,6902.44898455466,43.1778752591085,84.93,0,0
"SFE-M-3","SFE-M","2023-07-17","TM",0,0,8.51063829787233,0,21.2765957446809,14.8936170212766,0,17.0212765957447,0,0,0,0,27.6595744680851,0,0,10.6382978723404,0,0,0,0,0,8.45,25,9.31,219,4.327,0.0115,0.00086,8.45,11.49,0.706,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,7730.83146208779,110.432540506316,69.924,0,0
"SFE-M-3","SFE-M","2023-07-24","TM",0,0,0,0,17.0212765957447,7.44680851063831,0,43.6170212765957,0,0,0,0,13.8297872340426,0,0,10.6382978723404,0,0,0,0,7.44680851063831,8.63,24.5,9.95,209,3.382,0.056,0.00364,8.63,9.382,0.993,NA,NA,NA,NA,NA,NA,NA,0.09,0,0,0.09,5532.10093944223,54.0906592645395,62.766,1.63e-05,0.1433897
"SFE-M-3","SFE-M","2023-07-31","TM",15.8550396375991,0,0,0.339750849377123,29.445073612684,4.5300113250283,0,20.3850509626274,0,1.13250283125708,0,0,19.2525481313703,0,0,9.06002265005663,0,0,0,0,0,8.39,23.6,9.17,210,4.187,0.013,0.00408,8.39,7.923,0.643,NA,NA,NA,NA,NA,NA,NA,0.268,0.045,0,0.313,9072.42803197186,156.088710044982,77.08,3.45e-05,0.4060716
"SFE-M-3","SFE-M","2023-08-07","TM",3.04568527918781,0,3.14720812182741,0.304568527918781,31.4720812182741,11.1675126903553,0,15.2284263959391,0.101522842639594,0,0,0,27.4111675126904,0,0,8.12182741116752,0,0,0,0,0,8.23,24.3,8.77,234,4.8325,0.015,0.005995,8.23,11.76,0.8365,NA,NA,NA,NA,NA,NA,NA,1.536,0.352,0,1.888,7889.58980903741,31.197716712036,67.7,0.0002393,2.788774
"SFE-M-4","SFE-M","2023-08-07","TM",19.2644483362522,0,0,0.175131348511384,24.5183887915937,10.507880910683,0,14.0105078809107,0,0,0,0,22.7670753064799,0,0,8.75656742556918,0,0,0,0,0,8.52,26.1,10.9,233,4.047,0.01,0.0039,8.52,14.93,0.702,NA,NA,NA,NA,NA,NA,NA,0.253,0,0,0.253,1136.90319507463,62.7431659276601,9.26,0.0002225,2.7321814
"SFE-M-4","SFE-M","2023-09-12","TM",0,0,0,0,18.1818181818182,12.7272727272727,0,40,0,0,0,0,21.8181818181818,0,0,7.27272727272728,0,0,0,0,0,8.17,23.1,8.33,252,5.6605,0.011,0.00614,8.17,7.665,0.237,NA,NA,NA,NA,NA,NA,NA,1.157,0.095,0,1.252,10580.9155974954,1362.49578208627,45.56,0.0001183,2.7480246
"SFE-SH-1S","SFE-SH","2023-07-11","TM",0,0,0,0,17.1821305841924,5.15463917525773,0,22.3367697594502,0,0.171821305841925,0,0,37.8006872852233,0.171821305841925,0,8.59106529209622,0,0,0,8.59106529209622,0,7.99,20.2,8.44,199.8,4.134,0.015,0.00096,7.99,10.94,0.463,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,6161.10449260449,292.674385382595,69.12,0,0
"SFE-SH-1S","SFE-SH","2023-07-17","TM",0,0,4.12903225806451,0,12.9032258064516,7.74193548387096,0,25.8064516129032,0,0,0,0,42.5806451612903,0.258064516129032,0,6.45161290322579,0,0,0,0.129032258064516,0,7.97,22.2,7.63,200,4.234,0.013,0.00096,7.97,9.7,0.477,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,9916.96910398525,217.229327386723,65.67,0,0
"SFE-SH-1S","SFE-SH","2023-07-24","TM",10.5263157894737,0,2.10526315789474,0,18.9473684210526,3.15789473684211,0,29.4736842105263,0,0,0,0,23.1578947368421,0,0,12.6315789473684,0,0,0,0,0,8.04,21.8,7.83,206,3.664,0.008,0.00229,8.04,11.16,0.699,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,5568.80173016165,132.935372801416,63.9,0,0
"SFE-SH-1S","SFE-SH","2023-07-31","TM",11.6022099447514,0,6.62983425414364,1.6574585635359,16.0220994475138,4.41988950276243,0,23.2044198895028,0,1.6574585635359,5.52486187845303,0,19.3370165745857,4.41988950276243,0,5.52486187845303,0,0,0,0,0,7.93,21.3,7.91,208,3.8695,0.008,0.001635,7.93,13.42,0.7105,NA,NA,NA,NA,NA,NA,NA,0.131,0,0,0.131,4258.22131520163,262.256789379415,68.24,3.08e-05,0.1919695
