"field_date","site_reach","triplicate","Chla_ug_L","Pheo_ug_L","Chla_Pheo_flag","neg_Pheo_flag","volume_filtered_mL"
"6/24/2022","RUS-1S","n",1010.22711663101,285.817810545339,"n","n",18
"6/25/2022","blank","n",0.346398416534062,3.11712544377469,"y","n",15
"6/27/2022","SAL-1S","n",522.763230253492,80.299775592602,"n","n",29
"6/27/2022","SAL-3","n",701.565079552514,176.597777480411,"n","n",19
"6/29/2022","SFE-M-1S","n",748.137923091899,37.460019675165,"n","n",21
"6/29/2022","SFE-M-3","n",1019.65481261453,23.4761246403942,"n","n",21
"6/29/2022","SFE-M-4","n",937.74334588978,170.991935449934,"n","n",20
"6/30/2022","blank","n",-0.291268646211481,0.897613415894597,"y","n",15
"7/6/2022","RUS-1S","n",924.760392681775,282.669685592062,"n","n",16
"7/6/2022","RUS-2","y",2584.5363578567,153.605680782079,"n","n",15
"7/6/2022","RUS-2","y",2174.99812740246,141.470642947344,"n","n",17
"7/6/2022","RUS-2","y",2311.95546902777,235.716230891286,"n","n",16
"7/7/2022","RUS-3","n",1223.31210462795,288.307506329353,"n","n",24
"7/7/2022","blank","n",1.03588893694836,0.709056615595155,"y","n",15
"7/12/2022","SAL-1S","n",517.315526555724,159.796280397342,"n","n",16
"7/12/2022","SAL-2","n",514.777593382859,124.193743970647,"n","n",18
"7/12/2022","SAL-3","n",468.976949058095,158.119735707073,"n","n",20
"7/13/2022","blank","n",-0.311180200410849,2.07887332215946,"y","n",15
"7/14/2022","SFE-M-1S","n",1394.10688687502,97.7124164281723,"n","n",20
"7/14/2022","SFE-M-3","n",1967.61870139047,324.538757535661,"n","n",16
"7/14/2022","SFE-M-4","n",1448.95508140268,156.000066024106,"n","n",16
"7/15/2022","blank","n",-0.027012298088227,0.818317032763294,"y","n",15
"7/20/2022","RUS-1S","n",1348.94442498846,119.280431399479,"n","n",16
"7/20/2022","RUS-2","n",1946.79103356977,41.8500625939435,"n","n",19
"7/21/2022","blank","n",-0.749575154825341,9.02699104972608,"y","n",15
"7/26/2022","SAL-1S","n",2338.80616151441,-376.583953313997,"n","y",16
"7/26/2022","SAL-2","y",1331.0249517365,-26.2560430313084,"n","y",14
"7/26/2022","SAL-2","y",1748.56757919345,-220.529338894134,"n","y",17
"7/26/2022","SAL-2","y",759.044603448673,122.540186770741,"n","n",13
"7/27/2022","blank","n",-0.42455725312654,1.61646730819731,"y","n",15
"7/28/2022","SFE-M-1S","n",1831.2315632907,-155.650804495992,"n","y",17
"7/28/2022","SFE-M-3","n",1703.06624752396,-171.184275393093,"n","y",18
"7/28/2022","SFE-M-4","n",1794.11226301629,-508.764541318541,"n","y",20
"7/29/2022","blank","n",1.07462068587779,1.0720615630446,"y","n",15
"8/2/2022","RUS-1S","n",1857.00128944262,66.9421541429269,"n","n",16
"8/2/2022","RUS-2","n",1505.15733055688,206.254195506773,"n","n",18
"8/2/2022","RUS-3","n",2082.80290861147,103.305755866992,"n","n",17
"8/3/2022","blank","n",0.747958837636632,0.883354366963435,"y","n",15
"8/10/2022","SFE-M-1S","n",2172.93275028448,-300.699744794754,"n","y",17
"8/10/2022","SFE-M-3","y",2244.09562830433,-229.462067634158,"n","y",15
"8/10/2022","SFE-M-3","y",1718.94598488651,-61.5272290935242,"n","y",19
"8/10/2022","SFE-M-3","y",2410.88199282074,-92.3202038251355,"n","y",14
"8/10/2022","SFE-M-4","n",1837.50187251466,-3.13532430939389,"n","y",16
"8/11/2022","blank","n",0.423336956673526,6.46400710645087,"y","n",15
"8/17/2022","RUS-1S","n",1568.23306365925,15.1153571363433,"n","n",19
"8/17/2022","RUS-2","n",2004.55956555537,130.532801173153,"n","n",16
"8/17/2022","RUS-3","y",2190.62529893544,105.943277567181,"n","n",16
"8/17/2022","RUS-3","y",2439.88956560843,140.031229135071,"n","n",14
"8/17/2022","RUS-3","y",1866.57160397071,111.814599050417,"n","n",19
"8/18/2022","blank","n",2.02385015509305,2.14406620962067,"y","n",15
"8/23/2022","SFE-M-1S","n",1889.75575438217,-50.7087869775067,"n","y",19
"8/23/2022","SFE-M-3","n",1188.44502431996,225.697057846453,"n","n",16
"8/23/2022","SFE-M-4","n",1458.07601716292,130.671720555701,"n","n",15
"8/24/2022","blank","n",2.54913942674669,4.19035816907172,"y","n",15
"9/1/2022","RUS-1S","n",1627.21641016801,269.737752889985,"n","n",15
"9/1/2022","RUS-2","n",1480.52866903067,164.381735393418,"n","n",16
"9/1/2022","RUS-3","n",1463.14336024807,578.131977036464,"n","n",17
"9/2/2022","blank","n",10.924872074176,19.073416605077,"n","n",15
"9/6/2022","SFE-M-1S","n",1508.73747181083,136.402593929223,"n","n",16
"9/6/2022","SFE-M-3","y",1399.95154518344,283.020637535652,"n","n",13
"9/6/2022","SFE-M-3","y",861.850634339986,313.353262908014,"n","n",14
"9/6/2022","SFE-M-3","y",748.872362938596,349.11281317021,"n","n",15
"9/6/2022","SFE-M-4","n",1285.23582849723,225.109591890809,"n","n",12
"9/7/2022","blank","n",2.02888790724248,4.29352120232891,"y","n",15
"9/15/2022","RUS-1S","n",1292.7141967273,120.438207198283,"n","n",19
"9/15/2022","RUS-2","n",1605.07260052111,361.350789451616,"n","n",16
"9/15/2022","RUS-3","n",1238.99814275853,222.212008291406,"n","n",23
"9/16/2022","blank","n",10.0021759942523,35.9716872471471,"n","n",15
"9/17/2022","SFE-M-1S","n",2009.71897570565,69.9216059316909,"n","n",15
"9/17/2022","SFE-M-3","n",1622.98211771517,-97.3897389916519,"n","y",15
"9/17/2022","SFE-M-4","n",1470.04278851758,72.9867591594041,"n","n",18
"9/18/2022","blank","n",0.300460011193428,0.917573551707471,"y","n",15
"9/22/2022","SAL-1S","n",1675.46590990306,96.7108459414921,"n","n",17
"9/22/2022","SAL-2","n",1072.84847392858,268.806298254472,"n","n",18
"9/22/2022","SAL-3","y",1630.00765660325,92.4127413707298,"n","n",19
"9/22/2022","SAL-3","y",1603.64223184234,127.527525323581,"n","n",18
"9/22/2022","SAL-3","y",1510.82291632186,98.5515608346624,"n","n",20
"9/23/2022","blank","n",2.45178279425755,11.4744114913843,"y","n",15
"6/28/2023","SAL-1S","y",762.841166111766,58.3504086600031,"n","n",12
"6/28/2023","SAL-1S","y",640.904133657418,33.0344644757005,"n","n",11
"6/28/2023","SAL-1S","y",648.328899556324,98.8161963796672,"n","n",11
"6/28/2023","SAL-2","n",927.874535842269,5.70335610844133,"n","n",16
"6/28/2023","SAL-3","n",570.525094638779,113.674951695509,"n","n",16
"6/29/2023","blank","n",-3.14542692750437,11.3932306021381,"y","n",15
"7/13/2023","SAL-1S","n",242.369037263718,78.9594838247004,"n","n",15
"7/13/2023","SAL-2","n",590.526915120491,94.6638268103335,"n","n",17
"7/13/2023","SAL-3","n",501.156098157003,237.706034379726,"n","n",15
"7/14/2023","blank","n",-1.90649447545131,7.45201934680198,"y","n",15
"7/27/2023","SAL-1S","n",345.164428514519,68.8744527651123,"n","n",19
"7/27/2023","SAL-2","n",397.7475007166,108.734620652483,"n","n",16
"7/27/2023","SAL-3","y",229.507667132156,76.1079783920509,"n","n",17
"7/27/2023","SAL-3","y",233.784963308059,78.2771467985702,"n","n",17
"7/27/2023","SAL-3","y",378.623208174093,122.640817382698,"n","n",14
"7/28/2023","blank","n",0.634457452829502,0.0197470674472865,"y","n",15
"8/10/2023","SAL-1S","n",324.866960992124,89.35969195786,"n","n",16
"8/10/2023","SAL-2","n",147.641222652367,41.8606675944275,"n","n",15
"8/10/2023","SAL-3","n",117.297093222579,51.517926777274,"n","n",17
"8/11/2023","blank","n",0.551141136888436,0.0656079264019995,"y","n",15
