"field_date","site_reach","Chla_ug_mL","Pheo_ug_mL","flag_Pheo"
2022-06-24,"RUS-1S",1.01022711663101,0.285817810545339,0
2022-06-27,"SAL-1S",0.522763230253492,0.080299775592602,0
2022-06-27,"SAL-3",0.701565079552514,0.176597777480411,0
2022-06-29,"SFE-M-1S",0.748137923091899,0.037460019675165,0
2022-06-29,"SFE-M-3",1.01965481261453,0.0234761246403942,0
2022-06-29,"SFE-M-4",0.93774334588978,0.170991935449934,0
2022-07-06,"RUS-1S",0.924760392681775,0.282669685592062,0
2022-07-07,"RUS-3",1.22331210462795,0.288307506329353,0
2022-07-12,"SAL-1S",0.517315526555724,0.159796280397342,0
2022-07-12,"SAL-2",0.514777593382859,0.124193743970647,0
2022-07-12,"SAL-3",0.468976949058095,0.158119735707073,0
2022-07-14,"SFE-M-1S",1.39410688687502,0.0977124164281723,0
2022-07-14,"SFE-M-3",1.96761870139047,0.324538757535661,0
2022-07-14,"SFE-M-4",1.44895508140268,0.156000066024106,0
2022-07-20,"RUS-1S",1.34894442498846,0.119280431399479,0
2022-07-20,"RUS-2",1.94679103356977,0.0418500625939435,0
2022-07-26,"SAL-1S",2.33880616151441,-0.376583953313997,1
2022-07-28,"SFE-M-1S",1.8312315632907,-0.155650804495992,1
2022-07-28,"SFE-M-3",1.70306624752396,-0.171184275393093,1
2022-07-28,"SFE-M-4",1.79411226301629,-0.508764541318541,1
2022-08-02,"RUS-1S",1.85700128944262,0.0669421541429269,0
2022-08-02,"RUS-2",1.50515733055688,0.206254195506773,0
2022-08-02,"RUS-3",2.08280290861147,0.103305755866992,0
2022-08-10,"SFE-M-1S",2.17293275028448,-0.300699744794754,1
2022-08-10,"SFE-M-4",1.83750187251466,-0.00313532430939389,1
2022-08-17,"RUS-1S",1.56823306365925,0.0151153571363433,0
2022-08-17,"RUS-2",2.00455956555537,0.130532801173153,0
2022-08-23,"SFE-M-1S",1.88975575438217,-0.0507087869775067,1
2022-08-23,"SFE-M-3",1.18844502431996,0.225697057846453,0
2022-08-23,"SFE-M-4",1.45807601716292,0.130671720555701,0
2022-09-01,"RUS-1S",1.61629153809383,0.250664336284908,0
2022-09-01,"RUS-2",1.4696037969565,0.145308318788341,0
2022-09-01,"RUS-3",1.4522184881739,0.559058560431387,0
2022-09-06,"SFE-M-1S",1.50873747181083,0.136402593929223,0
2022-09-06,"SFE-M-4",1.28523582849723,0.225109591890809,0
2022-09-15,"RUS-1S",1.28271202073304,0.0844665199511357,0
2022-09-15,"RUS-2",1.59507042452686,0.325379102204469,0
2022-09-15,"RUS-3",1.22899596676427,0.186240321044259,0
2022-09-17,"SFE-M-1S",2.00971897570565,0.0699216059316909,0
2022-09-17,"SFE-M-3",1.62298211771517,-0.0973897389916519,1
2022-09-17,"SFE-M-4",1.47004278851758,0.0729867591594041,0
2022-09-22,"SAL-1S",1.67546590990306,0.0967108459414921,0
2022-09-22,"SAL-2",1.07284847392858,0.268806298254472,0
2023-06-28,"SAL-2",0.927874535842269,0.00570335610844133,0
2023-06-28,"SAL-3",0.570525094638779,0.113674951695509,0
2023-07-13,"SAL-1S",0.242369037263718,0.0789594838247004,0
2023-07-13,"SAL-2",0.590526915120491,0.0946638268103335,0
2023-07-13,"SAL-3",0.501156098157003,0.237706034379726,0
2023-07-27,"SAL-1S",0.345164428514519,0.0688744527651123,0
2023-07-27,"SAL-2",0.3977475007166,0.108734620652483,0
2023-08-10,"SAL-1S",0.324866960992124,0.08935969195786,0
2023-08-10,"SAL-2",0.147641222652367,0.0418606675944275,0
2023-08-10,"SAL-3",0.117297093222579,0.051517926777274,0
2022-07-06,"RUS-2",2.35716331809565,0.176930851540237,0
2022-07-26,"SAL-2",1.27954571145954,-0.0414150650515674,1
2022-08-10,"SFE-M-3",2.12464120200386,-0.127769833517606,1
2022-08-17,"RUS-3",2.16569548950486,0.11926303525089,0
2022-09-06,"SFE-M-3",1.00355818082068,0.315162237871292,0
2022-09-22,"SAL-3",1.58149093492248,0.106163942509658,0
2023-06-28,"SAL-1S",0.684024733108503,0.0634003565051236,0
2023-07-27,"SAL-3",0.280638612871436,0.0923419808577731,0
