field_date,site,reach,sample_type,date_analyzed,method,slide_rep,non_algal,non_e_r_diatoms,other_coccoids,microcystis,chroococcus,aphanothece,epithemia,rhopalodia,nostoc,mougeotia,scenedesmus_no_spines,desmodesmus_spines,ankistrodesmus,lacunastrum,tetraedron,stauridium,anabaena_and_cylindrospermum,geitlerinema,spirogyra,cladophora,leptolyngbya,homoeothrix,microcoleus,lyngbya,oedogonium,stigeoclonium,cosmarium,coelastrum,rivularia,calothrix,gloeotrichia,oocystis,desmid,unknown
6/29/2022,SFE-M,4,NT,1/9/2024,preserved,1,8,5,1,,,,1,,75.4,,0.5,,,,,,,2,7,,,,,0.1,,,,,,,,,,
6/29/2022,SFE-M,4,NT,1/9/2024,preserved,2,5,4,1,,,,3,,1,2,0.1,,,,,,,1,74.9,7,,,,1,,,,,,,,,,
6/29/2022,SFE-M,4,NT,1/9/2024,preserved,3,5,2,1,,,,0.1,,84.9,,,,,,,,,1,6,,,,,,,,,,,,,,,
6/29/2022,SFE-M,4,NT,1/9/2024,preserved,4,8,1,1,,,,0.1,,71.9,,,,,,,,,1,15,,,,,,2,,,,,,,,,
7/14/2022,SFE-M,4,NT,1/10/2024,preserved,1,1,3,1,,,,1,,77.9,,0.1,,,,,,,,15,1,,,,,,,,,,,,,,
7/14/2022,SFE-M,4,NT,1/10/2024,preserved,2,3,5,2,,,,3,,1,,0.9,0.1,,,,,5,1,71,,1,,,,7,,,,,,,,,
7/14/2022,SFE-M,4,NT,1/10/2024,preserved,3,4,10,1,0.1,,,3,,,,0.1,,,,,,7,1,48.8,25,,,,,,,,,,,,,,
7/14/2022,SFE-M,4,NT,1/10/2024,preserved,4,10,5,1,,,,3,0.1,44.7,,0.8,0.2,,,,,,1,15,10,2,,0.1,,7,,,,,0.1,,,,
7/28/2022,SFE-M,4,NT,1/17/2024,preserved,1,16,5,2,,0.5,0.5,8,3,,1,0.5,0.1,0.1,,0.1,,10,3,20,22,1,,0.1,,7,,0.1,,,,,,,
7/28/2022,SFE-M,4,NT,1/17/2024,preserved,2,13,3,3,,0.1,,7,5,,,0.1,1,,,0.1,,11,3,15,5,1,2,29.7,,,,1,,,,,,,
7/28/2022,SFE-M,4,NT,1/17/2024,preserved,3,15,4,4,,,,10,3,20.8,,1,,,,0.1,,3,2,16,5,1,,7,,7,,1,,0.1,,,,,
7/28/2022,SFE-M,4,NT,1/17/2024,preserved,4,13,8,3,,0.1,,10,4,3,,,0.1,,,0.1,0.1,15,1,19.4,7,1,0.1,8,,7,,,,0.1,,,,,
8/10/2022,SFE-M,4,NT,1/19/2024,preserved,1,5,3,1,,,,5,,72.8,,0.1,,,,,0.1,,1,4,7,,,1,,,,,,,,,,,
8/10/2022,SFE-M,4,NT,1/19/2024,preserved,2,18,10,2,,,1,15,2,,,0.5,0.5,,0.1,0.1,1,3,1,10,31.6,1,,3,,,,,,,,,0.1,0.1,
8/10/2022,SFE-M,4,NT,1/19/2024,preserved,3,9,12,3,,,1,15,5,,,1,,,0.1,0.1,,4,2,,44.6,1,,2,,,,0.1,0.1,,,,,,
8/10/2022,SFE-M,4,NT,1/19/2024,preserved,4,7,10,1,,,,5,,,,,,,,,,,1,3,72,,,1,,,,,,,,,,,
8/10/2022,SFE-M,4,NT,1/19/2024,preserved,5,10,6,1,,,,7,,70,,,,,,,,2,1,,,1,,2,,,,,,,,,,,
8/23/2022,SFE-M,4,NT,1/22/2024,preserved,1,15,5,1,,0.1,,7,2,4,,0.1,,,,0.1,0.1,4,1,37.3,10,0.1,0.1,3,,10,,,,,,,,,0.1
8/23/2022,SFE-M,4,NT,1/22/2024,preserved,2,18,6,2,,,,7,1,,,0.5,,,,0.1,1,,3,48.3,,1,0.1,,,12,,,,,,,,,
8/23/2022,SFE-M,4,NT,1/22/2024,preserved,3,10,5,1,,1,,7,2,,,,,,,,0.1,,1,44.8,15,1,0.1,3,,9,,,,,,,,,
8/23/2022,SFE-M,4,NT,1/22/2024,preserved,4,15,11,2,,1,,15,2,,,0.5,,,,,0.1,,2,20.3,17,1,,3,,10,,,,,,0.1,,,
9/6/2022,SFE-M,4,NT,1/23/2024,preserved,1,25,3,2,,,,5,1,,,1,,,,,0.1,,1,28.6,20,1,0.1,0.1,7,,,,0.1,5,,,,,
9/6/2022,SFE-M,4,NT,1/23/2024,preserved,2,15,5,3,,0.1,,5,2,,,0.1,,,,,,,1,49.7,10,3,0.1,,6,,,,,,,,,,
9/6/2022,SFE-M,4,NT,1/23/2024,preserved,3,20,4,3,,0.1,,5,1,,,0.1,,,,0.1,0.1,,,26.6,10,,5,,5,,,,,20,,,,,
9/6/2022,SFE-M,4,NT,1/23/2024,preserved,4,15,5,3,,0.1,,8,2,,,0.1,,,0.1,,,,,40.6,7,1,,,5,3,,,0.1,10,,,,,
9/17/2022,SFE-M,4,NT,2/20/2024,preserved,1,13,7,2,,0.1,,5,,,,,,,,,,,4,15,5,,36.9,,1,8,,,,,3,,,,
9/17/2022,SFE-M,4,NT,2/20/2024,preserved,2,10,4,3,,0.1,0.1,3,,,,0.1,0.1,,,,0.1,,1,34.1,20,4,11,,1,5,0.1,,,0.1,3,,,,0.2
9/17/2022,SFE-M,4,NT,2/20/2024,preserved,3,5,5,2,,,,3,,,,0.1,,,,,,,,80.9,,,1,,1,,,,,,2,,,,
