field_date,site,reach,sample_type,date_analyzed,method,slide_rep,non_algal,non_e_r_diatoms,other_coccoids,epithemia,rhopalodia,nostoc,mougeotia,scenedesmus_no_spines,desmodesmus_spines,ankistrodesmus,lacunastrum,anabaena_and_cylindrospermum,geitlerinema,spirogyra,cladophora,leptolyngbya,homoeothrix,microcoleus,stigeoclonium,lyngbya,oedogonium,zygnema,oscillatoria,calothrix,coelastrum,oocystis,chroococcus,unknown_green_algae
6/28/2023,SAL,3,NT,2/26/2024,preserved,1,91.9,6,0.1,,,,,,,,,,,,,2,,,,,,,,,,,,
6/28/2023,SAL,3,NT,2/26/2024,preserved,2,91.7,7,0.1,,,,,,,,,,0.1,,,1,,,,0.1,,,,,,,,
6/28/2023,SAL,3,NT,2/26/2024,preserved,3,83.7,12,0.1,,,,,,,,,,1,,,3,0.1,0.1,,,,,,,,,,
7/13/2023,SAL,3,NT,2/27/2024,preserved,1,93.9,4,0.1,,,,,,,,,,,,,2,,,,,,,,,,,,
7/13/2023,SAL,3,NT,2/27/2024,preserved,2,95.9,3,0.1,,,,,,,,,,,,,1,,,,,,,,,,,,
7/13/2023,SAL,3,NT,2/27/2024,preserved,3,95.9,3,0.1,,,,,,,,,,,,,1,,,,,,,,,,,,
7/27/2023,SAL,3,NT,2/28/2024,preserved,1,93.9,2,0.1,,,,,,,,,,,,,1,,3,,,,,,,,,,
7/27/2023,SAL,3,NT,2/28/2024,preserved,2,94.7,2,0.1,,,,,,,,,,,,,1,0.1,2,0.1,,,,,,,,,
7/27/2023,SAL,3,NT,2/28/2024,preserved,3,96.9,2,0.1,,,,,,,,,,,,,,,1,,,,,,,,,,
8/10/2023,SAL,3,NT,2/29/2024,preserved,1,96.8,2,0.1,,,,,,,,,,,,,0.1,,1,,,,,,,,,,
8/10/2023,SAL,3,NT,2/29/2024,preserved,2,95.8,3,0.1,,,,,,,,,,,,,0.1,,1,,,,,,,,,,
8/10/2023,SAL,3,NT,2/29/2024,preserved,3,97.6,2,0.1,,,,,,,,,,,,,0.1,,0.1,0.1,,,,,,,,,
