field_date	site	reach	sample_type	date_analyzed	method	slide_rep	non_algal	non_e_r_diatoms	other_coccoids	epithemia	rhopalodia	nostoc	mougeotia	scenedesmus_no_spines	desmodesmus_spines	ankistrodesmus	lacunastrum	anabaena_and_cylindrospermum	geitlerinema	spirogyra	cladophora	leptolyngbya	homoeothrix	microcoleus	stigeoclonium	oedegonium	stauridium	lyngbya	oscillatoria	calothrix	tolypothrix	scytonema	ulothrix	chroococcus	unknown_green_algae
7/13/2022	SAL	2	NT	2/23/2024	preserved	1	93.5	4	0.1	0.1					0.1				1				1		0.1									0.1	
7/13/2022	SAL	2	NT	2/23/2024	preserved	2	91.6	4	1	0.1									1				2	0.1	0.1									0.1	
7/13/2022	SAL	2	NT	2/23/2024	preserved	3	96.6	3	0.1	0												0.1	0.1		0.1										
7/26/2022	SAL	2	NT	2/23/2024	preserved	1	18	11	2	1	1		3	0.1	0.5				3			5	4	44.3	7			0.1							
7/26/2022	SAL	2	NT	2/23/2024	preserved	2	15	13	1	2			6		0.1						30.9	5		20		7									
7/26/2022	SAL	2	NT	2/23/2024	preserved	3	25	20	1	1									2		10	5		35.8					0.1				0.1		
9/22/2022	SAL	2	NT	1/25/2024	preserved	1	15.6	17	2	15	5		10		0.1					5	20		0.1			10					0.1			0.1	
9/22/2022	SAL	2	NT	1/25/2024	preserved	2	5	15	1	10			12						3	28.7	20	5	0.1	0.1			0.1								
9/22/2022	SAL	2	NT	1/25/2024	preserved	3	8	25	1	11	3									27.9	15	4	0.1			5									
9/22/2022	SAL	2	NT	1/25/2024	preserved	4	5	20	2	17	5		15						1	15		3	1			14.7	0.1		0.1			0.1	1		
