"site","site_reach","field_date","sample_type","anabaena_and_cylindrospermum","ankistrodesmus","aphanothece","calothrix","chantransia","chroococcus","cladophora","closterium","coelastrum","cosmarium","desmodesmus_spines","epithemia","euglenoid","geitlerinema","gloeocystis","gloeotrichia","homoeothrix","lacunastrum","leptolyngbya","lyngbya","microcoleus","mougeotia","non_e_r_diatoms","nostoc","oedogonium","oocystis","oscillatoria","other_coccoids","pediastrum","phormidium_unknown","rhopalodia","rivularia","scenedesmus_no_spines","scytonema","spirogyra","stauridium","stigeoclonium","tetraedron","tolypothrix","ulothrix","unknown","unknown_green_algae","zygnema"
"RUS","RUS-1S","2022-06-24","NT",0,0,0,0,0,0,3.65758477979728,0,0,0,0.708288246974828,2.41926493161963,0,0,0,0,0.204465205027383,0,2.14444916175643,0,0,1.82879238989864,5.29245060863265,0,3.16756133579975,0,0,1.93972725041952,0,0,0,0,0.354144123487414,0,4.70714251276202,0,2.86251287038336,0,0,0,0,0,0
"RUS","RUS-1S","2022-07-06","NT",0,0,0,0,0,0,4.98548618128344,0,0,0,0,3.71054119260641,0,0.601929265428846,0.19034674690672,0,0,0,2.40771706171538,0.19034674690672,0,2.33126202060078,5,0,3.29690236697893,0,0,1.04257207028537,0,0,0,0,0.269190951029083,0,3.40502612303499,0,1.04257207028537,0,0,0,0,0,0
"RUS","RUS-1S","2022-07-20","NT",2.50924217569694,0,0,0,0,0,3.04290309725092,0,0,0,0.860662965823871,3.54860431614918,0,1.61015297179883,0,0,0.272165526975909,0,1.36082763487954,0,0.192450089729875,1.92450089729875,4.08248290463863,0,3.04290309725092,0,0,1.72132593164774,0,0,2.27710017021325,0,0.860662965823871,0,4.97028205474334,0,1.82574185835055,0,0,0,0,0,0
"RUS","RUS-1S","2022-08-02","NT",0.570265948512201,0,0,0,0,0.73621017383231,0,0,0,0,0.545988077735961,3.20906574894155,0,1.27515342612668,0,0,0.164621599441598,0,1.27515342612668,0.570265948512201,0,1.80333926933486,3.68105086916155,0,2.7050089040023,0,0,1.1640504929493,0,0,2.14640305405595,0,0,0,7.21899031293237,0,1.65442659893805,0,0,0,0,0,0
"RUS","RUS-1S","2022-08-17","NT",1.56598725291564,0,0,0,0,1.05696083774852,1.73126404813352,0,0,0,0.16506955020012,2.50340367754624,0,1.27862323778203,0,0,1.39090075297706,0,1.88208244570345,0.285908847729148,0,2.95285388210225,4.57751881198913,0,3.69106735262781,0,0,1.27862323778203,0,0,1.6506955020012,0,0.233443596627835,0,5.3310053956651,0,1.95312925748855,0,0,0,0,0,0
"RUS","RUS-1S","2022-09-01","NT",2.78174320132093,0,0,0,0,0.944911182523068,0,0,0,0,0.172516389835589,3.03746448146978,0,1.54303349962092,0,0,0,0,1.44337567297406,0.790569415042095,0.243975018237133,2.61634059236142,3.70006434950478,0,3.03746448146978,0,0.298807152333598,1.09108945117996,0,0.597614304667197,1.80936716113936,0,0.172516389835589,0,6.50091568641717,0,0,0,0,0,0,0,0
"RUS","RUS-1S","2022-09-15","NT",3.12456412580861,0,0.681835791441022,0,0.340917895720511,0,4.82853366266341,0,0,0,0.431230818235434,3.16154250319921,0,1.67014977739723,0.152463117915449,0,0,0,0.505662956493258,2.55119592561215,0.215615409117717,1.86728421743318,2.97205331098049,0,0.681835791441022,0.403379494113796,1.07807704558858,1.73834700281188,0,0.152463117915449,1.59904667089333,0,0,0,5.10011348904275,0,0.901983969567923,0,0,0,0,0,0
"RUS","RUS-2","2022-07-06","NT",0.188645669476136,0,0,0,0,0,0,0,0,0,0,2.9224861448609,0,1.19309997254379,0.188645669476136,0,0.188645669476136,0,0.843649081219196,0,0,2.98274993135947,3.52923731339151,0,2.66785264256104,0,0,1.03325488547744,0,0,0,0,0.864483059900015,0,7.67674308164843,0,0,0,0,0,0,0,0
"RUS","RUS-2","2022-07-20","NT",0,0.163736530665978,0,0,0,0,2.31558422323745,0,0,0,0.163736530665978,2.69046574000178,0,1.15779211161872,0,0,1.15779211161872,0,1.36991810091595,0.163736530665978,0,1.63736530665978,3.10668223847099,0,2.92900810375285,0,0,1.03556074615699,0,0,1.36991810091595,0,0.231558422323745,0,7.40444037489773,0,2.00535476192608,0,0,0,0,0,0
"RUS","RUS-2","2022-08-02","NT",1.05703284516338,0,0,0,0,0,1.29459555600631,0,0,0,0.689101106656731,2.94265490282075,0,0.91541729654603,0,0,0.236359729623533,0,2.11406569032676,0.91541729654603,0.167131567616219,2.42196651250786,3.25799403616164,0,3.62332604385966,0,0,1.29459555600631,0,0,0.91541729654603,0,0.625349064534334,0,5.63310248224005,0,4.19496905389402,0,0,0,0,0,0
"RUS","RUS-2","2022-08-17","NT",1.38409133089567,0,0,0,0,0,0,0,0,0,0.195740073171568,2.96854518853907,0.195740073171568,0.618984460590173,0,0,0,0,0.875376219064817,0.195740073171568,0,2.90329446903795,2.6980907113346,0,0,0,0,1.63767894813506,0,0,2.05293920683813,0,0.276818266179133,0,7.46639983102845,0,3.09492230295086,0,0,0,0,0,0
