"field_date","site_reach","Chla_ug_mL","Pheo_ug_mL","flag_Pheo"
2022-06-24,"RUS-1S",1010.22711663101,285.817810545339,0
2022-06-27,"SAL-1S",522.763230253492,80.299775592602,0
2022-06-27,"SAL-3",701.565079552514,176.597777480411,0
2022-06-29,"SFE-M-1S",748.137923091899,37.460019675165,0
2022-06-29,"SFE-M-3",1019.65481261453,23.4761246403942,0
2022-06-29,"SFE-M-4",937.74334588978,170.991935449934,0
2022-07-06,"RUS-1S",924.760392681775,282.669685592062,0
2022-07-07,"RUS-3",1223.31210462795,288.307506329353,0
2022-07-12,"SAL-1S",517.315526555724,159.796280397342,0
2022-07-12,"SAL-2",514.777593382859,124.193743970647,0
2022-07-12,"SAL-3",468.976949058095,158.119735707073,0
2022-07-14,"SFE-M-1S",1394.10688687502,97.7124164281723,0
2022-07-14,"SFE-M-3",1967.61870139047,324.538757535661,0
2022-07-14,"SFE-M-4",1448.95508140268,156.000066024106,0
2022-07-20,"RUS-1S",1348.94442498846,119.280431399479,0
2022-07-20,"RUS-2",1946.79103356977,41.8500625939435,0
2022-07-26,"SAL-1S",2338.80616151441,-376.583953313997,1
2022-07-28,"SFE-M-1S",1831.2315632907,-155.650804495992,1
2022-07-28,"SFE-M-3",1703.06624752396,-171.184275393093,1
2022-07-28,"SFE-M-4",1794.11226301629,-508.764541318541,1
2022-08-02,"RUS-1S",1857.00128944262,66.9421541429269,0
2022-08-02,"RUS-2",1505.15733055688,206.254195506773,0
2022-08-02,"RUS-3",2082.80290861147,103.305755866992,0
2022-08-10,"SFE-M-1S",2172.93275028448,-300.699744794754,1
2022-08-10,"SFE-M-4",1837.50187251466,-3.13532430939389,1
2022-08-17,"RUS-1S",1568.23306365925,15.1153571363433,0
2022-08-17,"RUS-2",2004.55956555537,130.532801173153,0
2022-08-23,"SFE-M-1S",1889.75575438217,-50.7087869775067,1
2022-08-23,"SFE-M-3",1188.44502431996,225.697057846453,0
2022-08-23,"SFE-M-4",1458.07601716292,130.671720555701,0
2022-09-01,"RUS-1S",1616.29153809383,250.664336284908,0
2022-09-01,"RUS-2",1469.6037969565,145.308318788341,0
2022-09-01,"RUS-3",1452.2184881739,559.058560431387,0
2022-09-06,"SFE-M-1S",1508.73747181083,136.402593929223,0
2022-09-06,"SFE-M-4",1285.23582849723,225.109591890809,0
2022-09-15,"RUS-1S",1282.71202073304,84.4665199511357,0
2022-09-15,"RUS-2",1595.07042452686,325.379102204469,0
2022-09-15,"RUS-3",1228.99596676427,186.240321044259,0
2022-09-17,"SFE-M-1S",2009.71897570565,69.9216059316909,0
2022-09-17,"SFE-M-3",1622.98211771517,-97.3897389916519,1
2022-09-17,"SFE-M-4",1470.04278851758,72.9867591594041,0
2022-09-22,"SAL-1S",1675.46590990306,96.7108459414921,0
2022-09-22,"SAL-2",1072.84847392858,268.806298254472,0
2023-06-28,"SAL-2",927.874535842269,5.70335610844133,0
2023-06-28,"SAL-3",570.525094638779,113.674951695509,0
2023-07-13,"SAL-1S",242.369037263718,78.9594838247004,0
2023-07-13,"SAL-2",590.526915120491,94.6638268103335,0
2023-07-13,"SAL-3",501.156098157003,237.706034379726,0
2023-07-27,"SAL-1S",345.164428514519,68.8744527651123,0
2023-07-27,"SAL-2",397.7475007166,108.734620652483,0
2023-08-10,"SAL-1S",324.866960992124,89.35969195786,0
2023-08-10,"SAL-2",147.641222652367,41.8606675944275,0
2023-08-10,"SAL-3",117.297093222579,51.517926777274,0
2022-07-06,"RUS-2",2357.16331809565,176.930851540237,0
2022-07-26,"SAL-2",1279.54571145954,-41.4150650515674,1
2022-08-10,"SFE-M-3",2124.64120200386,-127.769833517606,1
2022-08-17,"RUS-3",2165.69548950486,119.26303525089,0
2022-09-06,"SFE-M-3",1003.55818082068,315.162237871292,0
2022-09-22,"SAL-3",1581.49093492248,106.163942509658,0
2023-06-28,"SAL-1S",684.024733108503,63.4003565051236,0
2023-07-27,"SAL-3",280.638612871436,92.3419808577731,0
